,coords.x1,coords.x2,row,col,hash,xdim_scale,ydim_scale
1,-29.36818306,-631.1408888,1,1,RT_1453,2282,1383
2,-28.31998869,-600.6009961,2,1,RT_1469,2282,1383
3,-27.27179433,-570.0611034,3,1,RT_1485,2282,1383
4,-26.22359996,-539.5212107,4,1,RT_1501,2282,1383
5,-25.1754056,-508.9813181,5,1,RT_1517,2282,1383
6,-24.12721123,-478.4414254,6,1,RT_1533,2282,1383
7,-23.07901687,-447.9015327,7,1,RT_1455,2282,1383
8,-22.0308225,-417.36164,8,1,RT_1471,2282,1383
9,-20.98262814,-386.8217473,9,1,RT_1487,2282,1383
10,-19.93443377,-356.2818546,10,1,RT_1503,2282,1383
11,-18.88623941,-325.741962,11,1,RT_1519,2282,1383
12,-17.83804504,-295.2020693,12,1,RT_1535,2282,1383
13,-16.78985068,-264.6621766,13,1,RT_1353,2282,1383
14,-15.74165631,-234.1222839,14,1,RT_1369,2282,1383
15,-14.69346195,-203.5823912,15,1,RT_1385,2282,1383
16,-13.64526758,-173.0424985,16,1,RT_1401,2282,1383
17,-12.59707322,-142.5026059,17,1,RT_1417,2282,1383
18,-11.54887885,-111.9627132,18,1,RT_1433,2282,1383
19,-10.50068449,-81.4228205,19,1,RT_1355,2282,1383
20,-9.452490124,-50.88292782,20,1,RT_1371,2282,1383
21,-8.40429576,-20.34303514,21,1,RT_1387,2282,1383
22,-7.356101395,10.19685755,22,1,RT_1645,2282,1383
23,-6.30790703,40.73675023,23,1,RT_1661,2282,1383
24,-5.259712665,71.27664291,24,1,RT_1677,2282,1383
25,-4.2115183,101.8165356,25,1,RT_1693,2282,1383
26,-3.163323936,132.3564283,26,1,RT_1709,2282,1383
27,-2.115129571,162.896321,27,1,RT_1725,2282,1383
28,-1.066935206,193.4362136,28,1,RT_1647,2282,1383
29,-0.018740841,223.9761063,29,1,RT_1663,2282,1383
30,1.029453524,254.515999,30,1,RT_1679,2282,1383
31,2.077647888,285.0558917,31,1,RT_1695,2282,1383
32,3.125842253,315.5957844,32,1,RT_1711,2282,1383
33,4.174036618,346.1356771,33,1,RT_1727,2282,1383
34,5.222230983,376.6755697,34,1,RT_1545,2282,1383
35,6.270425348,407.2154624,35,1,RT_1561,2282,1383
36,7.318619713,437.7553551,36,1,RT_1577,2282,1383
37,8.366814077,468.2952478,37,1,RT_1593,2282,1383
38,9.415008442,498.8351405,38,1,RT_1609,2282,1383
39,10.46320281,529.3750332,39,1,RT_1625,2282,1383
40,11.51139717,559.9149258,40,1,RT_1547,2282,1383
41,12.55959154,590.4548185,41,1,RT_1563,2282,1383
42,13.6077859,620.9947112,42,1,RT_1579,2282,1383
43,14.65598027,651.5346039,43,1,RT_1452,2282,1383
44,15.70417463,682.0744966,44,1,RT_1468,2282,1383
45,16.752369,712.6143893,45,1,RT_1484,2282,1383
46,17.80056336,743.1542819,46,1,RT_1500,2282,1383
47,18.84875773,773.6941746,47,1,RT_1516,2282,1383
48,19.89695209,804.2340673,48,1,RT_1532,2282,1383
49,20.94514646,834.77396,49,1,RT_1454,2282,1383
50,21.99334082,865.3138527,50,1,RT_1470,2282,1383
51,23.04153518,895.8537453,51,1,RT_1486,2282,1383
52,24.08972955,926.393638,52,1,RT_1502,2282,1383
53,25.13792391,956.9335307,53,1,RT_1518,2282,1383
54,26.18611828,987.4734234,54,1,RT_1534,2282,1383
55,27.23431264,1018.013316,55,1,RT_1352,2282,1383
56,28.28250701,1048.553209,56,1,RT_1368,2282,1383
57,29.33070137,1079.093101,57,1,RT_1384,2282,1383
58,30.37889574,1109.632994,58,1,RT_1400,2282,1383
59,31.4270901,1140.172887,59,1,RT_1416,2282,1383
60,32.47528447,1170.712779,60,1,RT_1432,2282,1383
61,33.52347883,1201.252672,61,1,RT_1354,2282,1383
62,34.5716732,1231.792565,62,1,RT_1370,2282,1383
